Rank,Company,Country/Territory,Sales,Profits,Assets,Market Value,Industry,Founded,Chief Executive Officer,Employees
1793,Hanesbrands,United States,6800000000.0,553000000.0,7300000000.0,6800000000.0,Apparel/Accessories,1901,Gerald W. Evans,68000.0
1794,Longi Green Energy Technology,China,3100000000.0,461000000.0,5600000000.0,12500000000.0,Semiconductors,2000,,17702.0
1795,Barry Callebaut,Switzerland,7100000000.0,365000000.0,6100000000.0,9900000000.0,Food Processing,1994,,11570.0
1796,Axiata Group,Malaysia,5900000000.0,-1200000000.0,15500000000.0,8900000000.0,Telecommunications services,1992,,27000.0
1797,Banca Popolare di Sondrio,Italy,1300000000.0,131000000.0,47000000000.0,1300000000.0,Regional Banks,1871,Mario Alberto Predanzini,3261.0
1798,Liberty Broadband,United States,22000000.0,70000000.0,12200000000.0,17400000000.0,Telecommunications services,1991,Gregory Ben Maffei,52.0
1799,Suzano Papel e Celulose,Brazil,3700000000.0,87000000.0,13900000000.0,14000000000.0,Paper & Paper Products,1924,,37000.0
1800,China Oriental Group,Hong Kong,6200000000.0,730000000.0,4300000000.0,2400000000.0,,2003,,9700.0
1801,Sinotrans Ltd.,China,11700000000.0,409000000.0,9500000000.0,3200000000.0,Air Courier,2002,,36441.0
1802,Berry Global Group,United States,8100000000.0,421000000.0,9000000000.0,7500000000.0,Containers & Packaging,2005,Thomas E. Salmon,24000.0
1803,President Chain Store,Taiwan,8100000000.0,338000000.0,4200000000.0,9500000000.0,Food Retail,1987,,
1804,Juniper Networks,United States,4600000000.0,567000000.0,9400000000.0,9800000000.0,Communications Equipment,1996,Rami Rahim,9283.0
1805,Canadian Utilities,Canada,3400000000.0,489000000.0,16000000000.0,7600000000.0,Electric Utilities,,Nancy C. Southern,4919.0
1806,CSPC Pharmaceutical Group,Hong Kong,2700000000.0,466000000.0,3400000000.0,12200000000.0,,,,14471.0
1807,Broadridge Financial,United States,4400000000.0,443000000.0,3400000000.0,13000000000.0,Business & Personal Services,,,10000.0
1808,Chipotle Mexican Grill,United States,4900000000.0,177000000.0,2400000000.0,19400000000.0,Restaurants,1993,Brian R. Niccol,73000.0
1809,Navistar International,United States,10800000000.0,424000000.0,7000000000.0,3400000000.0,Heavy Equipment,1902,,14000.0
1810,Bank of Qingdao,China,2300000000.0,306000000.0,45600000000.0,4099999999.9999995,Regional Banks,1996,,3834.0
1811,China Railway Signal & Communication,China,6000000000.0,534000000.0,11600000000.0,7100000000.0,Electrical Equipment,2010,Zhi Liang Zhou,19215.0
1812,Liberbank,Spain,905000000.0,130000000.0,45500000000.0,1400000000.0,Regional Banks,2011,,4153.0
1813,Nuernberger Beteiligungs,Germany,5100000000.0,69000000.0,35100000000.0,922000000.0,Diversified Insurance,1884,,4345.0
1814,Sofina,Belgium,145000000.0,1000000000.0,7600000000.0,6800000000.0,Investment Services,1956,,
1815,Yes Bank,India,4000000000.0,657000000.0,,8500000000.0,Regional Banks,2003,,18238.0
1816,Muyuan Foodstuff,China,2000000000.0,79000000.0,4300000000.0,20900000000.0,Food Processing,1992,,29978.0
1817,Bank of Jiujiang,China,2300000000.0,268000000.0,45400000000.0,3300000000.0,Regional Banks,2000,,3597.0
1818,China Development Bank Financial Leasing,China,2200000000.0,378000000.0,34700000000.0,2800000000.0,Regional Banks,1984,,
1819,United Utilities,United Kingdom,2400000000.0,497000000.0,16800000000.0,7300000000.0,Diversified Utilities,1989,,5388.0
1820,JTEKT,Japan,13700000000.0,327000000.0,11600000000.0,4500000000.0,Auto & Truck Parts,1935,,
1821,Keiyo Bank,Japan,592000000.0,103000000.0,44700000000.0,790000000.0,Regional Banks,1943,Toshiyuki Kumagai,2049.0
1822,Basler Kantonalbank,Switzerland,691000000.0,194000000.0,44700000000.0,391000000.0,Regional Banks,1899,Simone Westerfeld,1238.0
1823,Japan Securities,Japan,233000000.0,34000000.0,44600000000.0,481000000.0,Investment Services,1927,,281.0
1824,Commercial International Bank,Egypt,2400000000.0,538000000.0,19100000000.0,6200000000.0,Regional Banks,1975,Hussein Majid Abaza,6759.0
1825,Alfa Laval,Sweden,4700000000.0,519000000.0,6600000000.0,10400000000.0,Other Industrial Equipment,1883,,16785.0
1826,China Merchants Expressway Network & Technology Holdings,China,1000000000.0,591000000.0,12200000000.0,8199999999.999999,Other Transportation,,,4859.0
1827,Hyakujushi Bank,Japan,646000000.0,61000000.0,44200000000.0,602000000.0,Regional Banks,1924,Yujiro Ayada,2480.0
1828,Commerce Bank,United States,1400000000.0,426000000.0,25000000000.0,6500000000.0,Regional Banks,1865,John W. Kemper,4869.0
1829,Dali Foods Group,China,3200000000.0,564000000.0,2700000000.0,9500000000.0,Food Processing,1989,,37313.0
1830,Financial Street Holdings,China,2900000000.0,494000000.0,21600000000.0,4000000000.0,Real Estate,,,3557.0
1831,Hokkoku Bank,Japan,582000000.0,70000000.0,44000000000.0,857000000.0,Regional Banks,1943,Tateki Akata,1845.0
1832,Asian Paints,India,2700000000.0,317000000.0,2100000000.0,20300000000.0,Specialized Chemicals,1945,,18552.0
1833,Haidilao International Holding,China,2600000000.0,247000000.0,1700000000.0,20300000000.0,Restaurants,2015,,69056.0
1834,Old Republic International,United States,6300000000.0,370000000.0,19600000000.0,6400000000.0,Property & Casualty Insurance,1887,,9000.0
